,status,spc_latin,spc_common,health,count,diameter
339,Alive,Robinia pseudoacacia,black locust,Fair,342,11.883040935672515
340,Alive,Robinia pseudoacacia,black locust,Good,1389,12.320374370050397
341,Alive,Robinia pseudoacacia,black locust,Poor,53,10.849056603773585
342,Alive,Salix babylonica,weeping willow,Fair,51,16.607843137254903
343,Alive,Salix babylonica,weeping willow,Good,218,15.605504587155963
344,Alive,Salix babylonica,weeping willow,Poor,13,15.846153846153847
345,Alive,Sassafras albidum,sassafras,Fair,30,12.266666666666667
346,Alive,Sassafras albidum,sassafras,Good,128,12.296875
347,Alive,Sassafras albidum,sassafras,Poor,13,5.923076923076923
348,Alive,Styphnolobium japonicum,Sophora,Fair,2890,8.890657439446366
349,Alive,Styphnolobium japonicum,Sophora,Good,15832,9.403929993049852
350,Alive,Styphnolobium japonicum,Sophora,Poor,616,7.201298701298701
351,Alive,Styrax japonicus,Japanese snowbell,Fair,65,3.59375
352,Alive,Styrax japonicus,Japanese snowbell,Good,296,3.4
353,Alive,Styrax japonicus,Japanese snowbell,Poor,31,3.0
354,Alive,Syringa pekinensis,Chinese tree lilac,Fair,72,3.1666666666666665
355,Alive,Syringa pekinensis,Chinese tree lilac,Good,374,3.836898395721925
356,Alive,Syringa pekinensis,Chinese tree lilac,Poor,16,2.8125
357,Alive,Syringa reticulata,Japanese tree lilac,Fair,703,3.844950213371266
358,Alive,Syringa reticulata,Japanese tree lilac,Good,3645,4.030752333882482
359,Alive,Syringa reticulata,Japanese tree lilac,Poor,220,3.709090909090909
360,Alive,Taxodium ascendens,pond cypress,Fair,36,2.5555555555555554
361,Alive,Taxodium ascendens,pond cypress,Good,117,3.376068376068376
362,Alive,Taxodium ascendens,pond cypress,Poor,28,2.142857142857143
363,Alive,Taxodium distichum,bald cypress,Fair,165,5.213414634146342
364,Alive,Taxodium distichum,bald cypress,Good,1016,4.69064039408867
365,Alive,Taxodium distichum,bald cypress,Poor,80,3.65
366,Alive,Thuja occidentalis,arborvitae,Fair,17,4.176470588235294
367,Alive,Thuja occidentalis,arborvitae,Good,305,4.695081967213115
368,Alive,Thuja occidentalis,arborvitae,Poor,6,3.6
369,Alive,Tilia americana,American linden,Fair,1944,8.162551440329219
370,Alive,Tilia americana,American linden,Good,10844,9.284699806326662
371,Alive,Tilia americana,American linden,Poor,742,6.72911051212938
372,Alive,Tilia cordata,littleleaf linden,Fair,4440,9.222522522522523
373,Alive,Tilia cordata,littleleaf linden,Good,23582,10.368702290076335
374,Alive,Tilia cordata,littleleaf linden,Poor,1720,7.769947582993593
375,Alive,Tilia tomentosa,silver linden,Fair,899,8.439377085650722
376,Alive,Tilia tomentosa,silver linden,Good,6833,9.544642857142858
377,Alive,Tilia tomentosa,silver linden,Poor,263,6.55893536121673
378,Alive,Tsuga canadensis,eastern hemlock,Fair,20,4.45
379,Alive,Tsuga canadensis,eastern hemlock,Good,59,5.810344827586207
380,Alive,Tsuga canadensis,eastern hemlock,Poor,9,3.4444444444444446
381,Alive,Ulmus americana,American elm,Fair,1295,11.261978361669243
382,Alive,Ulmus americana,American elm,Good,6412,12.180371352785146
383,Alive,Ulmus americana,American elm,Poor,268,10.037313432835822
384,Alive,Ulmus parvifolia,Chinese elm,Fair,691,6.868306801736614
385,Alive,Ulmus parvifolia,Chinese elm,Good,4493,7.565227070347284
386,Alive,Ulmus parvifolia,Chinese elm,Poor,161,5.701863354037267
387,Alive,Ulmus pumila,Siberian elm,Fair,274,14.069343065693431
388,Alive,Ulmus pumila,Siberian elm,Good,1270,10.951968503937008
389,Alive,Ulmus pumila,Siberian elm,Poor,51,10.588235294117647
390,Alive,Zelkova serrata,Japanese zelkova,Fair,3191,6.736990595611285
391,Alive,Zelkova serrata,Japanese zelkova,Good,25285,8.078079265880865
392,Alive,Zelkova serrata,Japanese zelkova,Poor,782,5.563938618925831
393,Alive,,,Good,4,13.0
394,Alive,,,Poor,1,11.0
395,Dead,Gleditsia triacanthos var. inermis,honeylocust,,1,12.0
396,Dead,,,,13960,5.4920166858458
397,Stump,,,,17654,16.7504814772856
